wind_farm_name,country,package_group,role_type,company_name,source_type,source_title,source_url,source_date,confidence,notes,package_subscope,phase,consortium_or_jv,public_confirmed_flag
Seagreen,United Kingdom,Export cables,Export cable installer,Nexans,OEM website,"Nexans awarded turnkey contract to supply power export cables for Scotland’s Seagreen offshore windfarm project",https://www.nexans.com/press-releases/nexans-awarded-turnkey-contract-to-supply-power-export-cables-for-scotlands-seagreen-offshore-windfarm-project/,2020-06-11,high,"Nexans release states export cables will be installed by Nexans cable-laying vessel Aurora.",Export cable installation,,,
Seagreen,United Kingdom,WTG,WTG OEM,MHI Vestas,contractor website,"Swire Blue Ocean clinches Seagreen contract",https://www.cadeler.com/news/swire-blue-ocean-clinches-seagreen-contract,2021-06-16,medium,"Cadeler release states contract with MHI Vestas for transportation and installation of Seagreen wind turbine generators.",V164-10 MW turbines,,,
Seagreen,United Kingdom,WTG,WTG installer,Swire Blue Ocean (Cadeler),contractor website,"Swire Blue Ocean clinches Seagreen contract",https://www.cadeler.com/news/swire-blue-ocean-clinches-seagreen-contract,2021-06-16,high,"Cadeler release confirms SBO selected for transportation and installation of Seagreen WTGs.",WTG transport and installation,,,
Moray West,United Kingdom,Foundations,Foundation fabricator,Global Energy Group,developer website,"Moray West Offshore Wind Farm secures critical foundations infrastructure from Global Energy",https://www.moraywest.com/news/moray-west-offshore-wind-farm-secures-critical-foundations-infrastructure-global-energy,,medium,"Source is for complex foundation elements (J-tube cages), not full primary foundation fabrication.",J-tube cages (foundation components),,,true
Moray West,United Kingdom,Inter-array cables,IAC supplier,JDR Cable Systems,developer website,"Moray West Offshore Wind Farm Signs contract with Seaway7 for JDR supplied Inter-Array Cables",https://www.moraywest.com/news/moray-west-offshore-wind-farm-signs-contract-seaway7,2022-08-11,high,"Project release explicitly states contract includes IAC supply by JDR.",66kV inter-array cable supply,,,
Moray West,United Kingdom,Inter-array cables,IAC installer,Seaway7,developer website,"Moray West Offshore Wind Farm Signs contract with Seaway7 for JDR supplied Inter-Array Cables",https://www.moraywest.com/news/moray-west-offshore-wind-farm-signs-contract-seaway7,2022-08-11,high,"Project release explicitly states supply and installation contract with Seaway7.",66kV inter-array cable installation,,,
Moray West,United Kingdom,Export cables,Export cable supplier,Nexans,OEM website,"Nexans wins contract to supply offshore wind farm Moray West project",https://www.nexans.co.uk/en/newsroom/news/details/2021/12/2021-12-20-pr-nexans-wins-contract-to-supply-offshore-wind-farm-Moray-West-project.html,2021-12-20,high,"Nexans release confirms turnkey contract for 220kV subsea and onshore export cable system.",220kV export cable system supply,,,
Moray West,United Kingdom,Export cables,Export cable installer,Nexans,OEM website,"Nexans wins contract to supply offshore wind farm Moray West project",https://www.nexans.co.uk/en/newsroom/news/details/2021/12/2021-12-20-pr-nexans-wins-contract-to-supply-offshore-wind-farm-Moray-West-project.html,2021-12-20,high,"Nexans release states turnkey scope includes installation and protection.",220kV export cable installation/protection,,,
Moray West,United Kingdom,WTG,WTG OEM,Siemens Gamesa,developer website,"Ocean Winds celebrates final wind turbine installed on Moray West",https://www.oceanwinds.com/news/uncategorized/ocean-winds-celebrates-final-wind-turbine-installed-on-moray-west/,2024-11-15,high,"Ocean Winds confirms final (60th) Siemens Gamesa SG 14-222 DD turbine installed.",SG 14-222 DD WTGs,,,
Baltic Power,Poland,Foundations,Foundation installer,Van Oord,contractor website,"Van Oord awarded contracts for new offshore wind projects in Baltic Sea and Taiwan",https://www.vanoord.com/drupal/media/data/default/2023-11/Press%20release%20-%20Van%20Oord%20awarded%20contracts%20for%20new%20offshore%20wind%20projects%20in%20Baltic%20Sea%20and%20Taiwan%20%28002%29%20%28002%29.pdf,2023-11-08,high,"Van Oord release confirms transport/installation of 78 foundations (76 WTG + 2 OSS) at Baltic Power.",Monopiles and transition pieces,,,
Baltic Power,Poland,Foundations,TP fabricator,Smulders,developer website,"The first transition pieces have been installed at the Baltic Power offshore wind farm",https://balticpower.pl/news/the-first-transition-pieces-have-been-installed-at-the-baltic-power-offshore-wind-farm/,2025-04-09,high,"Baltic Power release explicitly names Smulders as TP manufacturer.",Transition pieces,,,
Baltic Power,Poland,Inter-array cables,IAC supplier,JDR Cable Systems,contractor website,"TELE-FONIKA Kable and JDR to supply subsea and land cables to the Baltic Power wind farm",https://www.jdrcables.com/media-centre/press-releases/tele-fonika-kable-and-jdr-to-supply-subsea-and-land-cables-to-the-baltic-power-wind-farm%2C979,2023-10-27,medium,"Release confirms JDR and TFK contract award for subsea and land cables; package split between IAC/export not fully itemized.",Subsea and land cable package,,"TFK/JDR with NKT and DEME partners",true
Baltic Power,Poland,Inter-array cables,IAC supplier,TELE-FONIKA Kable (TFK),contractor website,"TELE-FONIKA Kable and JDR to supply subsea and land cables to the Baltic Power wind farm",https://www.jdrcables.com/media-centre/press-releases/tele-fonika-kable-and-jdr-to-supply-subsea-and-land-cables-to-the-baltic-power-wind-farm%2C979,2023-10-27,medium,"Release confirms TFK/JDR contract award for subsea and land cables; exact split by cable class not explicit.",Subsea and land cable package,,"TFK/JDR with NKT and DEME partners",true
Baltic Power,Poland,Inter-array cables,IAC installer,DEME Offshore,contractor website,"TELE-FONIKA Kable and JDR to supply subsea and land cables to the Baltic Power wind farm",https://www.jdrcables.com/media-centre/press-releases/tele-fonika-kable-and-jdr-to-supply-subsea-and-land-cables-to-the-baltic-power-wind-farm%2C979,2023-10-27,low,"DEME named as partner in design/manufacture/install 340 km cable package; source does not unambiguously separate IAC vs export installation responsibilities.",Cable installation package,,"TFK/JDR with NKT and DEME partners",true
Baltic Power,Poland,Export cables,Export cable supplier,NKT,OEM website,"NKT awarded the contract for export power cables for the Baltic Power Offshore Wind Park",https://www.nkt.us/News-and-events/nkt-awarded-the-contract-for-export-power-cables-for-the-baltic-power-offshore-wind-park,2023-08-14,high,"NKT release explicitly states export power cable contract award.",Export power cable system,,,
Baltic Power,Poland,Export cables,Export cable installer,NKT,OEM website,"NKT awarded the contract for export power cables for the Baltic Power Offshore Wind Park",https://www.nkt.us/News-and-events/nkt-awarded-the-contract-for-export-power-cables-for-the-baltic-power-offshore-wind-park,2023-08-14,medium,"NKT source confirms export cable system contract; installation wording is less explicit than supply and may involve consortium execution.",Export cable system delivery,,,
Baltic Power,Poland,WTG,WTG OEM,Vestas,developer website,"Baltic Power project driving new investments",https://balticpower.pl/news/baltic-power-project-driving-new-investments/,2022-10-17,high,"Baltic Power release states 76 turbines will be supplied by Vestas.",15 MW WTGs,,,
Baltic Power,Poland,WTG,WTG installer,Vestas,developer website,"Baltic Power project driving new investments",https://balticpower.pl/news/baltic-power-project-driving-new-investments/,2022-10-17,medium,"Same source states Vestas contract provides supply and installation plus long-term service.",WTG installation contract scope,,,
Hollandse Kust Zuid 1+2,Netherlands,Foundations,MP fabricator,Sif,developer website,"Offshore construction of Hollandse Kust Zuid going on at full speed",https://group.vattenfall.com/uk/newsroom/News/2021/offshore-construction-of-hollandse-kust-zuid-going-on-at-full-speed,2021-08-31,medium,"Vattenfall article states foundations and secondary steel shipped from foundation manufacturer Sif's yard; source context is broader HKZ build-out.",Monopiles and secondary steel,,,
Hollandse Kust Zuid 1+2,Netherlands,Foundations,Foundation installer,Seaway7,contractor website,"Hollandse Kust Zuid Offshore Wind Farm - Seaway 7",https://www.seaway7.com/projects/hollandse-kust-zuid-offshore-wind-farm/,2020-04-01,medium,"Seaway7 project page says awarded transport and installation of monopile foundations for HKZ zone. Repo project naming is HKZ 1+2, so mapping is partial.",Monopile foundation transport and installation,,,
Hollandse Kust Zuid 1+2,Netherlands,Inter-array cables,IAC installer,Seaway7,contractor website,"Hollandse Kust Zuid Offshore Wind Farm - Seaway 7",https://www.seaway7.com/projects/hollandse-kust-zuid-offshore-wind-farm/,2020-04-01,medium,"Seaway7 page states award included inner-array grid cables for HKZ zone; mapped to HKZ 1+2 with caution.",Inner-array grid cable transport/installation,,,
Hollandse Kust Zuid 1+2,Netherlands,WTG,WTG OEM,Siemens Gamesa,contractor website,"Hollandse Kust Zuid Offshore Wind Farm - Seaway 7",https://www.seaway7.com/projects/hollandse-kust-zuid-offshore-wind-farm/,2020-04-01,medium,"Seaway7 project page identifies Siemens Gamesa 11.0-200 DD turbines at HKZ; source covers whole HKZ.",SG 11.0-200 DD,,,
